protocol_id,preprocessing_protocol,trace_protocol,kernel_normalization,seed,q,model,model_f1,baseline_f1,baseline,delta_f1
legacy_leak__legacy_trace,legacy_train_plus_heldout,,none,0,4,merlin_fidelity,0.8571428571428571,0.8695652173913043,linear_c1,-0.012422360248447228
legacy_leak__legacy_trace,legacy_train_plus_heldout,,none,1,4,merlin_fidelity,0.8461538461538461,0.8,linear_c1,0.0461538461538461
legacy_leak__legacy_trace,legacy_train_plus_heldout,,none,2,4,merlin_fidelity,0.7741935483870968,0.6896551724137931,linear_c1,0.0845383759733036
legacy_leak__legacy_trace,legacy_train_plus_heldout,,none,3,4,merlin_fidelity,0.6,0.6363636363636364,linear_c1,-0.036363636363636376
legacy_leak__legacy_trace,legacy_train_plus_heldout,,none,4,4,merlin_fidelity,0.6666666666666666,0.7857142857142857,linear_c1,-0.11904761904761907
legacy_leak__legacy_trace,legacy_train_plus_heldout,,none,5,4,merlin_fidelity,0.88,0.8461538461538461,linear_c1,0.03384615384615386
legacy_leak__legacy_trace,legacy_train_plus_heldout,,none,6,4,merlin_fidelity,0.8695652173913043,0.8181818181818182,linear_c1,0.05138339920948609
legacy_leak__legacy_trace,legacy_train_plus_heldout,,none,7,4,merlin_fidelity,0.5,0.7058823529411765,linear_c1,-0.20588235294117652
legacy_leak__legacy_trace,legacy_train_plus_heldout,,none,8,4,merlin_fidelity,0.7272727272727273,0.6666666666666666,linear_c1,0.06060606060606066
legacy_leak__legacy_trace,legacy_train_plus_heldout,,none,9,4,merlin_fidelity,0.8571428571428571,0.7619047619047619,linear_c1,0.09523809523809523
legacy_leak__legacy_trace,legacy_train_plus_heldout,,none,0,4,merlin_fidelity,0.8571428571428571,0.8181818181818182,rbf_tuned,0.03896103896103886
legacy_leak__legacy_trace,legacy_train_plus_heldout,,none,1,4,merlin_fidelity,0.8461538461538461,0.8571428571428571,rbf_tuned,-0.01098901098901095
legacy_leak__legacy_trace,legacy_train_plus_heldout,,none,2,4,merlin_fidelity,0.7741935483870968,0.75,rbf_tuned,0.024193548387096753
legacy_leak__legacy_trace,legacy_train_plus_heldout,,none,3,4,merlin_fidelity,0.6,0.6666666666666666,rbf_tuned,-0.06666666666666665
legacy_leak__legacy_trace,legacy_train_plus_heldout,,none,4,4,merlin_fidelity,0.6666666666666666,0.72,rbf_tuned,-0.053333333333333344
legacy_leak__legacy_trace,legacy_train_plus_heldout,,none,5,4,merlin_fidelity,0.88,0.9166666666666666,rbf_tuned,-0.036666666666666625
legacy_leak__legacy_trace,legacy_train_plus_heldout,,none,6,4,merlin_fidelity,0.8695652173913043,0.8181818181818182,rbf_tuned,0.05138339920948609
legacy_leak__legacy_trace,legacy_train_plus_heldout,,none,7,4,merlin_fidelity,0.5,0.5,rbf_tuned,0.0
legacy_leak__legacy_trace,legacy_train_plus_heldout,,none,8,4,merlin_fidelity,0.7272727272727273,0.6956521739130435,rbf_tuned,0.031620553359683834
legacy_leak__legacy_trace,legacy_train_plus_heldout,,none,9,4,merlin_fidelity,0.8571428571428571,0.8571428571428571,rbf_tuned,0.0
legacy_leak__legacy_trace,legacy_train_plus_heldout,legacy_square_only,,0,4,qsvm,0.8181818181818182,0.8695652173913043,linear_c1,-0.05138339920948609
legacy_leak__legacy_trace,legacy_train_plus_heldout,legacy_square_only,,1,4,qsvm,0.8125,0.8,linear_c1,0.012499999999999956
legacy_leak__legacy_trace,legacy_train_plus_heldout,legacy_square_only,,2,4,qsvm,0.7058823529411765,0.6896551724137931,linear_c1,0.016227180527383367
legacy_leak__legacy_trace,legacy_train_plus_heldout,legacy_square_only,,3,4,qsvm,0.8,0.6363636363636364,linear_c1,0.1636363636363637
legacy_leak__legacy_trace,legacy_train_plus_heldout,legacy_square_only,,4,4,qsvm,0.7647058823529411,0.7857142857142857,linear_c1,-0.021008403361344574
legacy_leak__legacy_trace,legacy_train_plus_heldout,legacy_square_only,,5,4,qsvm,0.8148148148148148,0.8461538461538461,linear_c1,-0.031339031339031376
legacy_leak__legacy_trace,legacy_train_plus_heldout,legacy_square_only,,6,4,qsvm,0.9166666666666666,0.8181818181818182,linear_c1,0.0984848484848484
legacy_leak__legacy_trace,legacy_train_plus_heldout,legacy_square_only,,7,4,qsvm,0.7619047619047619,0.7058823529411765,linear_c1,0.056022408963585346
legacy_leak__legacy_trace,legacy_train_plus_heldout,legacy_square_only,,8,4,qsvm,0.8148148148148148,0.6666666666666666,linear_c1,0.14814814814814814
legacy_leak__legacy_trace,legacy_train_plus_heldout,legacy_square_only,,9,4,qsvm,0.88,0.7619047619047619,linear_c1,0.11809523809523814
legacy_leak__legacy_trace,legacy_train_plus_heldout,legacy_square_only,,0,4,qsvm,0.8181818181818182,0.8181818181818182,rbf_tuned,0.0
legacy_leak__legacy_trace,legacy_train_plus_heldout,legacy_square_only,,1,4,qsvm,0.8125,0.8571428571428571,rbf_tuned,-0.044642857142857095
legacy_leak__legacy_trace,legacy_train_plus_heldout,legacy_square_only,,2,4,qsvm,0.7058823529411765,0.75,rbf_tuned,-0.044117647058823484
legacy_leak__legacy_trace,legacy_train_plus_heldout,legacy_square_only,,3,4,qsvm,0.8,0.6666666666666666,rbf_tuned,0.13333333333333341
legacy_leak__legacy_trace,legacy_train_plus_heldout,legacy_square_only,,4,4,qsvm,0.7647058823529411,0.72,rbf_tuned,0.04470588235294115
legacy_leak__legacy_trace,legacy_train_plus_heldout,legacy_square_only,,5,4,qsvm,0.8148148148148148,0.9166666666666666,rbf_tuned,-0.10185185185185186
legacy_leak__legacy_trace,legacy_train_plus_heldout,legacy_square_only,,6,4,qsvm,0.9166666666666666,0.8181818181818182,rbf_tuned,0.0984848484848484
legacy_leak__legacy_trace,legacy_train_plus_heldout,legacy_square_only,,7,4,qsvm,0.7619047619047619,0.5,rbf_tuned,0.26190476190476186
legacy_leak__legacy_trace,legacy_train_plus_heldout,legacy_square_only,,8,4,qsvm,0.8148148148148148,0.6956521739130435,rbf_tuned,0.11916264090177131
legacy_leak__legacy_trace,legacy_train_plus_heldout,legacy_square_only,,9,4,qsvm,0.88,0.8571428571428571,rbf_tuned,0.02285714285714291
legacy_leak__legacy_trace,legacy_train_plus_heldout,,none,0,6,merlin_fidelity,0.8571428571428571,0.8695652173913043,linear_c1,-0.012422360248447228
legacy_leak__legacy_trace,legacy_train_plus_heldout,,none,1,6,merlin_fidelity,0.7857142857142857,0.7692307692307693,linear_c1,0.016483516483516425
legacy_leak__legacy_trace,legacy_train_plus_heldout,,none,2,6,merlin_fidelity,0.7741935483870968,0.7142857142857143,linear_c1,0.05990783410138245
legacy_leak__legacy_trace,legacy_train_plus_heldout,,none,3,6,merlin_fidelity,0.6666666666666666,0.7619047619047619,linear_c1,-0.09523809523809523
legacy_leak__legacy_trace,legacy_train_plus_heldout,,none,4,6,merlin_fidelity,0.8,0.8275862068965517,linear_c1,-0.027586206896551668
legacy_leak__legacy_trace,legacy_train_plus_heldout,,none,5,6,merlin_fidelity,0.8333333333333334,0.88,linear_c1,-0.046666666666666634
legacy_leak__legacy_trace,legacy_train_plus_heldout,,none,6,6,merlin_fidelity,0.9166666666666666,0.9166666666666666,linear_c1,0.0
legacy_leak__legacy_trace,legacy_train_plus_heldout,,none,7,6,merlin_fidelity,0.5882352941176471,0.5882352941176471,linear_c1,0.0
legacy_leak__legacy_trace,legacy_train_plus_heldout,,none,8,6,merlin_fidelity,0.6956521739130435,0.75,linear_c1,-0.05434782608695654
legacy_leak__legacy_trace,legacy_train_plus_heldout,,none,9,6,merlin_fidelity,0.782608695652174,0.782608695652174,linear_c1,0.0
legacy_leak__legacy_trace,legacy_train_plus_heldout,,none,0,6,merlin_fidelity,0.8571428571428571,0.8571428571428571,rbf_tuned,0.0
legacy_leak__legacy_trace,legacy_train_plus_heldout,,none,1,6,merlin_fidelity,0.7857142857142857,0.8571428571428571,rbf_tuned,-0.0714285714285714
legacy_leak__legacy_trace,legacy_train_plus_heldout,,none,2,6,merlin_fidelity,0.7741935483870968,0.7272727272727273,rbf_tuned,0.04692082111436946
